,NAME,NAME.who,NAME.shpfile,iso3.x,who_coverage,who_coverage.x,who_coverage.y,merge_status,merge_status.x,merge_status.y,GAUL_CODE,GAUL_CODE.x,GAUL_CODE.y
55,koumassiportbouetvridi,koumassiportbouetvridi,NA,CIV,113.1313485,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
56,lakota,lakota,NA,CIV,101.5338164,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
57,man,man,NA,CIV,91.03663289,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
58,mankono,mankono,NA,CIV,99.01106051,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
59,mbahiakro,mbahiakro,NA,CIV,97.37003058,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
60,minignan,minignan,NA,CIV,100.8528785,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
61,nassian,nassian,NA,CIV,87.54189944,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
62,niakaramadougou,niakaramadougou,NA,CIV,93.30882353,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
63,odienne,odienne,NA,CIV,98.67526377,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
64,ouangolodougou,ouangolodougou,NA,CIV,107.1270037,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
65,oume,oume,NA,CIV,99.97833153,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
66,prikro,prikro,NA,CIV,105.328084,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
67,sakassou,sakassou,NA,CIV,94.64935065,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
68,sanpedro,sanpedro,NA,CIV,96.24687239,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
69,sassandra,sassandra,NA,CIV,96.26865672,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
70,seguela,seguela,NA,CIV,106.7252544,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
71,sikensi,sikensi,NA,CIV,101.7819149,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
72,sinfra,sinfra,NA,CIV,101.6520788,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
73,soubre,soubre,NA,CIV,103.2741499,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
74,tabou,tabou,NA,CIV,99.9245283,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
75,tanda,tanda,NA,CIV,95.92,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
76,tengrela,tengrela,NA,CIV,98.66834171,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
77,tiassale,tiassale,NA,CIV,101.3793103,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
78,tiebissou,tiebissou,NA,CIV,97.54010695,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
79,touba,touba,NA,CIV,103.1767956,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
80,toulepleu,toulepleu,NA,CIV,77.36486486,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
81,toumodi,toumodi,NA,CIV,93.10714286,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
82,treichvillemarcory,treichvillemarcory,NA,CIV,91.40065147,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
83,vavoua,vavoua,NA,CIV,109.2402597,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
84,yopougonest,yopougonest,NA,CIV,108.5962302,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
85,yopougonouestsongon,yopougonouestsongon,NA,CIV,101.4027778,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
86,zouanhounien,zouanhounien,NA,CIV,94.39942113,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
87,zuenoula,zuenoula,NA,CIV,110.9294513,NA,NA,in WHO but not shpfile,NA,NA,NA,NA,NA
88,abidjan,NA,NA,CIV,NA,NA,NA,in shpfile but not WHO,NA,NA,12898,NA,NA
89,agnbytiassa,NA,NA,CIV,NA,NA,NA,in shpfile but not WHO,NA,NA,12913,NA,NA
90,bafing,NA,NA,CIV,NA,NA,NA,in shpfile but not WHO,NA,NA,12927,NA,NA
91,bagou,NA,NA,CIV,NA,NA,NA,in shpfile but not WHO,NA,NA,12921,NA,NA
92,blier,NA,NA,CIV,NA,NA,NA,in shpfile but not WHO,NA,NA,12909,NA,NA
93,bounkani,NA,NA,CIV,NA,NA,NA,in shpfile but not WHO,NA,NA,12930,NA,NA
94,br,NA,NA,CIV,NA,NA,NA,in shpfile but not WHO,NA,NA,12926,NA,NA
95,cavally,NA,NA,CIV,NA,NA,NA,in shpfile but not WHO,NA,NA,12916,NA,NA
96,folon,NA,NA,CIV,NA,NA,NA,in shpfile but not WHO,NA,NA,12905,NA,NA
97,gbeke,NA,NA,CIV,NA,NA,NA,in shpfile but not WHO,NA,NA,12924,NA,NA
98,gbkle,NA,NA,CIV,NA,NA,NA,in shpfile but not WHO,NA,NA,12899,NA,NA
99,gh,NA,NA,CIV,NA,NA,NA,in shpfile but not WHO,NA,NA,12907,NA,NA
100,gontougo,NA,NA,CIV,NA,NA,NA,in shpfile but not WHO,NA,NA,12931,NA,NA
101,grandsponts,NA,NA,CIV,NA,NA,NA,in shpfile but not WHO,NA,NA,12914,NA,NA
102,gumon,NA,NA,CIV,NA,NA,NA,in shpfile but not WHO,NA,NA,12917,NA,NA
103,hambol,NA,NA,CIV,NA,NA,NA,in shpfile but not WHO,NA,NA,12925,NA,NA
104,hautsassandra,NA,NA,CIV,NA,NA,NA,in shpfile but not WHO,NA,NA,12919,NA,NA
105,iffou,NA,NA,CIV,NA,NA,NA,in shpfile but not WHO,NA,NA,12910,NA,NA
106,indnidjuablin,NA,NA,CIV,NA,NA,NA,in shpfile but not WHO,NA,NA,12903,NA,NA
107,kabadougou,NA,NA,CIV,NA,NA,NA,in shpfile but not WHO,NA,NA,12906,NA,NA
108,lam,NA,NA,CIV,NA,NA,NA,in shpfile but not WHO,NA,NA,12915,NA,NA
