,ADM1_NAME,ADM2_NAME,iso3,ADM0_NAME.x,year,vaccine,GAUL_CODE,merge_status,ADM1_NAME.who,ADM1_NAME.shpfile,ADM2_NAME.who,ADM2_NAME.shpfile,who_coverage,Note
217,litoral,machinda,GNQ,Equatorial Guinea,NA,NA,14890,in shpfile but not WHO,NA,Litoral,NA,machinda,NA,
218,litoral,riocampo,GNQ,Equatorial Guinea,NA,NA,14892,in shpfile but not WHO,NA,Litoral,NA,riocampo,NA,
219,welenzas,ayene,GNQ,Equatorial Guinea,NA,NA,14895,in shpfile but not WHO,NA,Wele-Nzas,NA,ayene,NA,
220,welenzas,ciudadnuevaoyala,GNQ,Equatorial Guinea,NA,NA,14896,in shpfile but not WHO,NA,Wele-Nzas,NA,ciudadnuevaoyala,NA,
221,welenzas,mongomeyenmongomeyen,GNQ,Equatorial Guinea,NA,NA,14897,in shpfile but not WHO,NA,Wele-Nzas,NA,mongomeyenmongomeyen,NA,
222,gao,ansongo,MLI,Mali,2016,DTP3,22118,success,NA,NA,ansongo,NA,104.0580851,
223,gao,bourem,MLI,Mali,2016,DTP3,22119,success,NA,NA,bourem,NA,86.33817975,
224,gao,gao,MLI,Mali,2016,DTP3,22120,success,NA,NA,gao,NA,88.17407457,
225,kayes,kayes,MLI,Mali,2016,DTP3,22125,success,NA,NA,kayes,NA,86.18302645,
226,kayes,kita,MLI,Mali,2016,DTP3,22126,success,NA,NA,kita,NA,84.98948051,
227,kayes,nioro,MLI,Mali,2016,DTP3,22127,success,NA,NA,nioro,NA,97.46254966,
228,kidal,kidal,MLI,Mali,2016,DTP3,22130,success,NA,NA,kidal,NA,102.2352422,
229,kidal,tessalit,MLI,Mali,2016,DTP3,22131,success,NA,NA,tessalit,NA,55,
230,kidal,tinessako,MLI,Mali,2016,DTP3,22132,success,NA,NA,tinessako,NA,20,
231,koulikoro,banamba,MLI,Mali,2016,DTP3,22133,success,NA,NA,banamba,NA,97.71534889,
232,koulikoro,kangaba,MLI,Mali,2016,DTP3,22135,success,NA,NA,kangaba,NA,111.5543035,
233,koulikoro,kati,MLI,Mali,2016,DTP3,22136,success,NA,NA,kati,NA,99.45503894,
234,koulikoro,kolokani,MLI,Mali,2016,DTP3,22137,success,NA,NA,kolokani,NA,94.93528716,
235,koulikoro,koulikoro,MLI,Mali,2016,DTP3,22138,success,NA,NA,koulikoro,NA,79.45785146,
236,koulikoro,nara,MLI,Mali,2016,DTP3,22139,success,NA,NA,nara,NA,93.8434713,
237,mopti,bandiagara,MLI,Mali,2016,DTP3,22140,success,NA,NA,bandiagara,NA,93.43651032,
238,mopti,bankass,MLI,Mali,2016,DTP3,22141,success,NA,NA,bankass,NA,105.9964861,
239,mopti,douentza,MLI,Mali,2016,DTP3,22143,success,NA,NA,douentza,NA,78.8084625,
240,mopti,koro,MLI,Mali,2016,DTP3,22144,success,NA,NA,koro,NA,94.52576935,
241,mopti,mopti,MLI,Mali,2016,DTP3,22145,success,NA,NA,mopti,NA,83.80182359,
242,mopti,youwarou,MLI,Mali,2016,DTP3,22147,success,NA,NA,youwarou,NA,104.2100353,
243,sikasso,bougouni,MLI,Mali,2016,DTP3,22155,success,NA,NA,bougouni,NA,90.83017934,
244,sikasso,kadiolo,MLI,Mali,2016,DTP3,22156,success,NA,NA,kadiolo,NA,105.8033057,
245,sikasso,koutiala,MLI,Mali,2016,DTP3,22158,success,NA,NA,koutiala,NA,105.9686643,
246,sikasso,sikasso,MLI,Mali,2016,DTP3,22159,success,NA,NA,sikasso,NA,88.73616088,
247,sikasso,yanfolila,MLI,Mali,2016,DTP3,22160,success,NA,NA,yanfolila,NA,111.322674,
