"","NAME.who","NAME.shpfile","iso3.x","who_coverage","merge_status","GAUL_CODE"
"359",NA,"dimnatkhadir","YEM",NA,"in shpfile but not WHO",12021253
"360",NA,"ghamr","YEM",NA,"in shpfile but not WHO",5018253
"361",NA,"ghaylbinyamin","YEM",NA,"in shpfile but not WHO",15012253
"362",NA,"haburzulaymah","YEM",NA,"in shpfile but not WHO",9010253
"363",NA,"halimayn","YEM",NA,"in shpfile but not WHO",10015253
"364",NA,"hidaybu","YEM",NA,"in shpfile but not WHO",18012253
"365",NA,"khabbwaashshaaf","YEM",NA,"in shpfile but not WHO",10006253
"366",NA,"kitafwaalboqee","YEM",NA,"in shpfile but not WHO",7018253
"367",NA,"nihm","YEM",NA,"in shpfile but not WHO",14019253
"368",NA,"oldcity","YEM",NA,"in shpfile but not WHO",9009253
"369",NA,"qulensyawaabdalkuri","YEM",NA,"in shpfile but not WHO",20012253
"370",NA,"rudum","YEM",NA,"in shpfile but not WHO",16020253
"371",NA,"shadaa","YEM",NA,"in shpfile but not WHO",15018253
"372",NA,"shibamkawkaban","YEM",NA,"in shpfile but not WHO",9008253
"373",NA,"yahr","YEM",NA,"in shpfile but not WHO",15015253
"374",NA,"zamakhwamanwakh","YEM",NA,"in shpfile but not WHO",30012253
